epoch,epoch_time,sampling_time,i_loss,n_loss,val_i_loss,val_kid,val_n_loss,,,,,,,,
Sampling Time: 2.1936404705047607,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_019_20251129-184123.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.09s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2396 - n_loss: 0.1466 - val_i_loss: 0.2289 - val_kid: 0.0551 - val_n_loss: 0.1458,,,,,,,,,,,,,,,
Epoch 21/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2386 - n_loss: 0.1460,,,,,,,,,,,,,,,
Sampling Time: 2.1914398670196533,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_020_20251129-184208.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.10s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2386 - n_loss: 0.1460 - val_i_loss: 0.2306 - val_kid: 0.0548 - val_n_loss: 0.1433,,,,,,,,,,,,,,,
Epoch 22/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2406 - n_loss: 0.1459,,,,,,,,,,,,,,,
Sampling Time: 2.188657760620117,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_021_20251129-184253.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.07s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2406 - n_loss: 0.1459 - val_i_loss: 0.2297 - val_kid: 0.0537 - val_n_loss: 0.1448,,,,,,,,,,,,,,,
Epoch 23/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2381 - n_loss: 0.1455,,,,,,,,,,,,,,,
Sampling Time: 2.1699256896972656,,,,,,,,,,,,,,,
Saved generated images to generated_images/epoch_022_20251129-184338.png,,,,,,,,,,,,,,,
Metrics saved to training_metrics.csv (Epoch time: 45.05s),,,,,,,,,,,,,,,
511/511 ???????????????????? 45s 88ms/step - i_loss: 0.2381 - n_loss: 0.1455 - val_i_loss: 0.2336 - val_kid: 0.0532 - val_n_loss: 0.1429,,,,,,,,,,,,,,,
Epoch 24/50,,,,,,,,,,,,,,,
511/511 ???????????????????? 0s 30ms/step - i_loss: 0.2380 - n_loss: 0.1461,,,,,,,,,,,,,,,
Sampling Time: 2.203301191329956,,,,,,,,,,,,,,,
